,0
0,
1,World Music
2,Music & Audio
3,Programming
4,Waste Water and Environmental
5,Business and Consumer Services
6,Sports News
7,Retail Trade
8,Other Health
9,Health Insurance
10,Extreme Sports
11,Mental Health
12,Pain Management
13,Plastics & Polymers
14,Pets and Animals
15,Computer Drives & Storage
16,Assisted Living & Long Term Care
17,Curtains & Window Treatments
18,Poverty & Hunger
19,Jobs & Education
20,Health
21,Lots & Land
22,Immigration and Visas
23,Manufacturing
24,Massage Therapy
25,Children's Interests
26,Dating and Relationships
27,Aerospace and Defense
28,Adult
29,Other Finance
30,Scientific Institutions
31,Emergency Services
32,Luxury Goods
33,Health News
34,Software
35,Motorcycles
36,Youth Organizations & Resources
37,Accommodation and Hotels
38,Power Supplies
39,Tax Preparation & Planning
40,Collectible Card Games
41,Internet & Telecom
42,Parking
43,Grants Scholarships and Financial Aid
44,Motor Sports
45,Career Resources & Planning
46,Jewelry and Luxury Products
47,Off-Road Vehicles
48,Oral & Dental Care
49,Financial Planning & Management
50,Agricultural Equipment
51,Concerts & Music Festivals
52,Circus
53,Mass Merchants & Department Stores
54,Printing & Publishing
55,Computer Hardware
56,Cable & Satellite Providers
57,Family-Oriented Games & Activities
58,Green Living & Environmental Issues
59,Fishing
60,Skin Conditions
61,Online Communities
62,Opera
63,Networking
64,Pharmacy
65,E-Commerce Services
66,Comics & Animation
67,Fitness
68,Distance Learning
69,Tourist Attractions
70,Make-Up & Cosmetics
71,Books and Literature
72,Veterinarians
73,Home & Garden
74,Web Design & Development
75,Communications Equipment
76,News
77,Other Travel and Tourism
78,Gifts
79,Electronics & Electrical
80,Libraries & Museums
81,Aging & Geriatrics
82,Food & Grocery Retailers
83,General Reference
84,Soft Drinks
85,Troubled Relationships
86,Humanities
87,Architecture
88,Teaching & Classroom Resources
89,Automotive Industry
90,Finance
91,Drawing & Coloring
92,TV & Video
93,Fun & Trivia
94,Urban & Hip-Hop
95,Alternative and Natural Medicine
96,Arts & Entertainment
97,Vehicle Parts & Accessories
98,Fun Tests & Silly Surveys
99,Music Reference
100,Commercial Vehicles
101,Mobile & Wireless
102,Business & Productivity Software
103,Holidays & Seasonal Events
104,Flooring
105,Vitamins & Supplements
106,Vacation Rentals & Short-Term Stays
107,Geographic Reference
108,Business News
109,Vision Care
110,Outdoors
111,Sleep Disorders
112,Kitchen & Dining
113,Mathematics
114,Industrial Materials & Equipment
115,Virtual Worlds
116,Cancer
117,Beverages
118,Gambling
119,LGBTQ
120,Sports Coaching & Training
121,Investing
122,Australian Football
123,Rugby
124,Casinos
125,Advertising & Marketing
126,GPS & Navigation
127,Home Furnishings
128,Animal Sports
129,Birds
130,Air Travel
131,Puzzles & Brainteasers
132,Engineering & Technology
133,International Sports Competitions
134,Camera & Photo Equipment
135,Small Business
136,Team Sports
137,Bus & Rail
138,Mobile & Wireless Accessories
139,Film & TV Industry
140,Photography
141,Cycling
142,Food
143,File Sharing and Hosting
144,CAD & CAM
145,Consumer Electronics
146,Pet Food and Supplies
147,Jobs and Career
148,Colleges & Universities
149,Drugs & Medications
150,Oil & Gas
151,Water Activities
152,Classifieds
153,Juice
154,Philanthropy
155,Sports Games
156,Online Image Galleries
157,Shipping and Logistics
158,Search Engines
159,Sports Memorabilia
160,Decease
161,Dictionaries & Encyclopedias
162,Home & Interior Decor
163,Law & Government
164,Reference
165,Wrestling
166,Men's Clothing
167,Business & Industrial
168,Chemical Industry
169,Athletic Apparel
170,Sports Betting
171,Video Games Consoles and Accessories
172,Streaming & Online TV
173,Physical Therapy
174,Bicycles & Accessories
175,Table Games
176,Loans
177,Doctors' Offices
178,Shopping
179,Social Networks
180,Funny Pictures & Videos
181,Desserts
182,Dance
183,Women's Clothing
184,Energy Industry
185,Affiliate Programs
186,Drug & Alcohol Treatment
187,Nutrition Diets and Fitness
188,Beauty and Cosmetics
189,Racquet Sports
190,Gardening & Landscaping
191,Heavy Industry and Engineering
192,Time & Calendars
193,Ground Transportation
194,Business Training
195,Books & Literature
196,Antiques and Collectibles
197,Medical Facilities & Services
198,Bed & Bath
199,Cookware & Diningware
200,Public Records
201,Cruises & Charters
202,Biographies & Quotations
203,Other Jobs and Career
204,Surf & Swim
205,Social Issues & Advocacy
206,Web Services
207,Health Conditions and Concerns
208,Residential Rentals
209,Auctions
210,Crime & Justice
211,Science
212,Jobs
213,Literature
214,Other Science and Education
215,Chemistry
216,Special & Restricted Diets
217,Geology
218,Office Supplies
219,Domestic Services
220,Theme Parks
221,Coupons & Discount Offers
222,Car Rental & Taxi Services
223,Board and Card Games
224,Maritime Transport
225,Sensitive Subjects
226,Casual Apparel
227,Mountain & Ski Resorts
228,Games
229,Models
230,Social Media Networks
231,People & Society
232,Law Enforcement and Protective Services
233,Construction & Maintenance
234,Other Hobbies and Leisure
235,Drones & RC Aircraft
236,Online Goodies
237,Respiratory Conditions
238,Moving & Relocation
239,Cricket
240,Other Pets and Animals
241,Clothing Accessories
242,Foreign Language Resources
243,Other Lifestyle
